,t2_towerKills,t1_towerKills,firstInhibitor,t2_inhibitorKills,t1_inhibitorKills,firstTower,firstBaron,t2_dragonKills,t1_dragonKills,t1_baronKills,t2_baronKills,firstDragon
26320,10,2,2,2,0,2,2,4,0,0,1,2
26321,0,7,1,0,1,1,0,0,1,0,0,1
26322,0,4,0,0,0,1,0,0,2,0,0,1
26323,10,3,2,2,0,1,2,1,1,0,1,2
26324,9,0,2,1,0,2,0,2,0,0,0,2
26325,6,1,2,1,0,2,2,2,0,0,1,2
26326,6,0,0,0,0,2,0,2,0,0,0,2
26327,2,6,1,0,1,2,0,0,3,0,0,1
26328,0,10,1,0,2,1,0,0,2,0,0,1
26329,0,11,1,0,4,1,1,0,3,1,0,1
26330,2,11,1,0,4,1,2,0,2,0,1,1
26331,9,2,2,2,0,2,0,0,0,0,0,0
26332,3,10,1,0,3,1,1,2,2,1,0,2
26333,7,3,2,1,0,2,2,1,1,0,1,1
26334,9,2,2,2,0,2,2,3,0,0,1,2
26335,10,1,2,1,0,2,2,2,1,0,1,2
26336,2,2,0,0,0,2,0,2,0,0,0,2
26337,0,0,0,0,0,0,0,0,0,0,0,0
26338,9,0,2,1,0,2,0,2,0,0,0,2
26339,7,2,2,1,0,2,2,2,1,0,1,2
26340,1,11,1,0,3,1,1,2,0,1,0,2
26341,6,0,0,0,0,2,0,1,0,0,0,2
26342,1,3,0,0,0,2,0,0,1,0,0,1
26343,1,9,1,0,1,1,1,0,2,1,0,1
26344,4,10,1,0,4,2,1,1,3,1,0,2
26345,0,8,1,0,2,1,1,0,4,1,0,1
26346,10,2,2,2,0,2,2,3,0,0,1,2
26347,5,11,1,1,4,1,1,2,3,1,1,1
26348,9,5,1,2,1,2,2,1,2,0,1,1
26349,0,6,1,0,1,1,0,0,2,0,0,1
26350,1,4,0,0,0,2,0,0,1,0,0,1
26351,4,8,1,0,1,2,1,3,0,2,0,2
26352,6,10,1,0,3,2,1,3,2,1,1,1
26353,3,8,1,0,1,2,1,2,1,1,0,2
26354,0,11,1,0,3,1,0,0,1,0,0,1
26355,10,1,2,2,0,2,2,5,0,0,1,2
26356,5,0,0,0,0,2,0,0,0,0,0,0
26357,9,2,2,1,0,2,2,2,0,0,1,2
26358,9,7,1,1,1,1,2,5,0,1,2,2
26359,0,11,1,0,3,1,1,0,4,1,0,1
26360,11,1,2,3,0,2,2,1,2,0,1,2
26361,8,2,2,1,0,2,2,1,0,0,1,2
26362,4,11,1,0,3,1,1,0,4,2,0,1
26363,0,8,0,0,0,1,0,0,1,0,0,1
26364,0,11,1,0,3,1,1,0,2,1,0,1
26365,0,0,0,0,0,0,0,0,0,0,0,0
26366,10,5,2,2,0,2,0,0,2,0,0,1
26367,11,4,2,3,0,2,2,2,1,0,1,1
26368,2,8,1,0,1,1,1,1,2,1,0,1
26369,6,1,0,0,0,2,2,1,1,0,1,1
26370,4,10,1,0,1,1,1,2,1,1,0,2
26371,2,11,1,0,3,1,1,1,3,1,1,2
26372,2,10,1,0,2,1,2,0,3,0,1,1
26373,11,2,2,3,0,1,0,3,0,0,0,2
26374,5,11,1,0,4,1,1,0,4,1,1,1
